wave,fnu,enu,aper_flux,aper_err,aper_corr,flam,elam
3.029751245530173,4.565866829497549e-12,6.371653328565867e-14,4.0249405e-12,5.947485e-14,1.1581669883861927,1.4892336072403637e-19,2.078220987367129e-21
3.043297581663403,4.920032491932449e-12,6.654064260738459e-14,4.320022e-12,6.0888306e-14,1.1585460718909077,1.5904962967889333e-19,2.151055827914523e-21
3.056787223136837,4.605418594880067e-12,6.284526477834273e-14,4.014217e-12,5.8715775e-14,1.1589244159530165,1.475680112901665e-19,2.013704194588091e-21
3.070220870115398,4.718613061026398e-12,6.607821206912426e-14,4.161266e-12,6.145138e-14,1.1593020273632562,1.4987481486128043e-19,2.098807355496577e-21
3.083596674651012,4.473078023889474e-12,6.706556208847817e-14,3.9169766e-12,6.1648345e-14,1.1596788413137764,1.4084611412372233e-19,2.1117279334805503e-21
3.0969177869274196,4.533207343611619e-12,6.519549690604419e-14,3.894312e-12,6.0242725e-14,1.1600549338970534,1.4151411639622437e-19,2.0352219606000147e-21
3.110184822882276,4.788364048488793e-12,6.79788959692072e-14,4.2203407e-12,6.282495e-14,1.1604303102853597,1.4820685758697194e-19,2.104046069138691e-21
3.1233957931347174,4.894393607083664e-12,6.857622020750795e-14,4.2254845e-12,6.315674e-14,1.1608049019339233,1.5020984000529097e-19,2.104616811085437e-21
3.1365540061064987,4.832074550077484e-12,6.745359297290565e-14,4.1920963e-12,6.195974e-14,1.1611787905991893,1.470556177003611e-19,2.052830451587365e-21
3.149659237600574,5.002022816297669e-12,6.951934332616397e-14,4.30415e-12,6.271517e-14,1.1615519582199898,1.509635367203188e-19,2.09812836214925e-21
3.1627108827377124,4.910241866485964e-12,6.902003838332655e-14,4.27407e-12,6.308776e-14,1.1619243758886968,1.4697295706713995e-19,2.0659021314859706e-21
