#id,gabe_ra,gabe_dec,m_F140W,m_F160W,z_p,z_spec,STELLARITY,in_obs_region_1,in_obs_region_2,in_obs_region_3,NRS_F110W,NRS_F140X,NRS_CLEAR,REFERENCE,WEIGHT,comment
15690,150.06603336626134,2.346436456536173,25.45592628898011,25.342060277400854,3.185,-99.0,0.95,False,True,True,25.8428955078125,25.64171600341797,25.60470962524414,1,3000, SF z>2: SF M>9 z>3:
20779,150.0570500864731,2.3723172640533527,25.191430102905237,25.307312031496238,3.123,-99.0,0.14,False,True,True,25.94725608825684,25.533321380615234,24.808555603027344,0,3000, SF z>2: SF M>9 z>3:
17014,150.0726001889567,2.3593188567128767,26.653455425170627,25.97560856884352,3.601,-99.0,0.46,False,True,True,26.043607711791992,25.93184280395508,25.591609954833984,0,3000, SF z>2: SF M>9 z>3:
15642,150.10623047096513,2.3452149718402064,24.946034532740672,24.591447999095145,3.227,-99.0,0.09,False,True,True,25.10470390319824,24.626054763793945,23.83937263488769,0,3000, SF z>2: SF M>9 z>3:
15640,150.0795432884937,2.3455331636672416,24.990519604519704,24.532002222339955,3.185,-99.0,0.02,False,True,True,25.330793380737305,24.965635299682617,24.486597061157227,0,3000, SF z>2: SF M>9 z>3:
15636,150.06542273198323,2.3456666480238426,25.142887344939155,24.894930325929423,3.51,-99.0,0.02,False,True,True,25.357181549072266,25.197452545166016,24.86648750305176,0,3000, SF z>2: SF M>9 z>3:
20553,150.0582424037439,2.3724921630553895,25.486591130638534,25.201372482792944,3.102,-99.0,0.38,False,True,True,25.56513977050781,25.349496841430664,25.24531936645508,0,3000, SF z>2: SF M>9 z>3:
16984,150.08363832120838,2.3587966825479247,24.234012496961967,23.95383659009163,3.443,-99.0,0.02,False,True,True,24.3811092376709,24.18194007873535,23.838552474975582,0,3000, SF z>2: SF M>9 z>3:
16892,150.1000780420305,2.3577598790333285,24.696075769941793,25.13362372357536,3.399,-99.0,0.27,False,True,True,25.31585693359375,25.12470245361328,24.601675033569336,0,3000, SF z>2: SF M>9 z>3:
20276,150.086737510237,2.3749730353545866,25.181647247306234,25.429423638196788,3.532,-99.0,0.46,False,True,True,25.641735076904297,25.51350212097168,25.2837028503418,0,3000, SF z>2: SF M>9 z>3:
18031,150.0540980700654,2.3681253290598874,26.640238382625938,25.53297420608261,3.421,-99.0,0.96,False,True,True,26.05752182006836,25.886310577392575,25.55663108825684,1,3000, SF z>2: SF M>9 z>3:
15738,150.07632831239223,2.346750828549195,25.36474523550938,25.10751390652808,3.29,-99.0,0.01,False,True,True,25.31661796569824,25.069969177246094,24.581707000732425,0,3000, SF z>2: SF M>9 z>3:
20543,150.11927638799682,2.372599075946835,25.41444273693038,25.020772144723594,3.812,-99.0,0.78,False,True,True,25.54023551940918,25.33476448059082,24.56834602355957,0,3000, SF z>2: SF M>9 z>3:
16968,150.07829501860996,2.357808261490257,24.122438030153837,23.502739345742594,3.102,-99.0,0.0,False,True,True,24.32828712463379,23.823909759521484,23.15160179138184,0,3000, SF z>2: SF M>9 z>3:
18022,150.0794909390212,2.36778784989086,24.64833715005816,24.272733054293628,3.487,-99.0,0.03,False,True,True,24.536701202392575,24.447290420532227,24.320934295654297,0,3000, SF z>2: SF M>9 z>3:
20244,150.08144069388703,2.376387464774977,24.035966443950414,23.90892544254022,3.001,-99.0,0.12,False,True,True,24.22347640991211,24.07138442993164,24.053285598754883,0,3000, SF z>2: SF M>9 z>3:
17956,150.08474711639914,2.3693063657872298,25.713421297017646,24.885197028187033,3.185,-99.0,0.0,False,True,True,25.887948989868164,25.165691375732425,23.946760177612305,0,3000, SF z>2: SF M>9 z>3:
20775,150.09479819330207,2.373495425237055,24.97397446818414,24.575006157333576,3.355,-99.0,0.83,False,True,True,25.019311904907227,24.86479949951172,24.607933044433597,0,3000, SF z>2: SF M>9 z>3:
20207,150.08286313275494,2.3752450892849954,24.831485853905438,24.982573392328117,3.74,-99.0,0.79,False,True,True,25.183048248291016,25.125871658325195,24.991981506347656,1,3000, SF z>2: SF M>9 z>3:
15605,150.06133339940405,2.345435367097239,,25.23980507990592,3.487,-99.0,0.01,False,False,True,25.763896942138672,25.45428466796875,24.757368087768555,0,3000, SF z>2: SF M>9 z>3:
15602,150.05792358239594,2.345301659912282,,24.882270592613676,3.185,-99.0,0.01,False,False,True,25.700368881225582,25.279844284057617,24.586833953857425,0,3000, SF z>2: SF M>9 z>3:
16416,150.12184174545357,2.3537266961082426,24.91162580869253,24.67553366369915,3.399,-99.0,0.02,False,True,True,25.065683364868164,24.87647819519043,24.53167152404785,0,3000, SF z>2: SF M>9 z>3:
14281,150.06593810392738,2.3313861113649903,25.92044731007025,25.822250793819865,3.061,-99.0,0.17,False,False,True,26.39283943176269,26.074520111083984,25.78830909729004,0,3000, SF z>2: SF M>9 z>3:
16665,150.08747114245335,2.3561779724604732,25.373557469826764,25.66714331542633,3.86,-99.0,0.1,False,True,True,25.57481002807617,25.473949432373047,24.965967178344727,0,3000, SF z>2: SF M>9 z>3:
16284,150.05263121993767,2.352157348822338,,,3.647,-99.0,,False,False,True,24.57772254943848,24.50749015808105,24.353309631347656,0,3000, SF z>2: SF M>9 z>3:
17473,150.08150249298885,2.363730866814202,24.803151278184213,24.7302121865076,3.884,-99.0,0.01,False,True,True,25.347532272338867,25.029272079467773,23.8050537109375,0,3000, SF z>2: SF M>9 z>3:
20011,150.11942697989008,2.3774476732365755,25.794495111764416,25.649746888750744,3.532,-99.0,0.11,False,True,True,25.886625289916992,25.79513359069824,25.67545890808105,0,3000, SF z>2: SF M>9 z>3:
17612,150.08177913452946,2.3653309407744794,24.324963346586923,24.58746077522625,3.693,-99.0,0.01,False,True,True,24.756181716918945,24.68354034423828,24.456396102905277,0,3000, SF z>2: SF M>9 z>3:
15056,150.09533072356606,2.3389896537021264,24.048526811888227,23.776738906915764,3.123,-99.0,0.03,False,True,True,24.56220054626465,24.021215438842773,23.087818145751957,0,3000, SF z>2: SF M>9 z>3:
20067,150.09903464719577,2.3729950403420306,25.0764672088556,24.77677422831841,3.355,-99.0,0.17,False,True,True,25.369155883789062,25.0928897857666,24.62961196899414,0,3000, SF z>2: SF M>9 z>3:
17526,150.07832500408463,2.364753652086311,25.29646702426685,25.34653142306602,3.51,-99.0,0.01,False,True,True,25.67264938354492,25.57769775390625,25.4598445892334,0,3000, SF z>2: SF M>9 z>3:
20689,150.07979847010674,2.371278302395422,24.933472792177145,24.565883621382,3.123,-99.0,0.39,False,True,True,25.12437057495117,24.884233474731445,24.891632080078125,0,3000, SF z>2: SF M>9 z>3:
16630,150.1178165081901,2.355399162268739,24.66434998842038,24.303647567023383,3.001,-99.0,0.03,False,True,True,25.25205993652344,24.56256866455078,23.250377655029297,0,3000, DU z>2 DU M>9 z>3:
14928,150.09783420306994,2.337912264730829,24.82425870450559,25.105275744750767,3.082,-99.0,0.09,False,True,True,25.504112243652344,25.236377716064453,25.166215896606445,0,3000, SF z>2: SF M>9 z>3:
19828,150.05615539252912,2.382290319522327,,24.570837415177397,3.421,-99.0,0.0,False,False,True,24.924020767211918,24.71731948852539,24.21817970275879,0,3000, SF z>2: SF M>9 z>3:
16513,150.06665115159228,2.353462468473575,23.81716612134338,23.738737891202994,3.51,-99.0,0.46,False,True,True,24.146705627441406,23.97850608825684,23.67894744873047,0,3000, SF z>2: SF M>9 z>3:
16057,150.06472219661245,2.3504403196067774,25.396649823249163,25.20645155670542,3.269,-99.0,0.02,False,True,True,25.842472076416016,25.661792755126957,25.36387634277344,0,3000, SF z>2: SF M>9 z>3:
